"createdAt","body"
"2022-11-01 15:44:27.534214+00","For the `ExternalEditor`, we are getting id from `gql query` <img width=""485"" alt=""Screen Shot 2022-11-01 at 21 22 33"" src=""https://user-images.githubusercontent.com/51731962/199274539-83a1c8aa-edaf-4766-b1ff-9ac9d22fdd74.png""> For the ConnectingOrganization we are getting id from query <img width=""583"" alt=""Screen Shot 2022-11-01 at 21 23 47"" src=""https://user-images.githubusercontent.com/51731962/199275031-f95613f1-6cc8-4ff0-9d43-447d41eaa310.png""> And for the `Selecting Framework`  <img width=""415"" alt=""Screen Shot 2022-11-01 at 21 28 06"" src=""https://user-images.githubusercontent.com/51731962/199275540-cd80e5c7-fe79-4bc0-a84a-fa742eaff482.png"">  Please let me know if I am missing something @phunguyenmurcul "
"2022-11-01 16:11:27.1316+00","Oh shit, it actually does not copy in the previous code as per the linting explanation. TIL. I guess the copy must be made explicit.   ``` c := *client  use(&c)  ```"
"2022-11-01 16:12:31.000418+00","What about renaming the err to `innerErr` then?"
"2022-11-01 16:15:02.998051+00","I think we'd better with `nil` in both cases no? Why create an empty slice struct to hold nothing? "
"2022-11-01 16:15:18.054813+00","I ... am ashamed I didn't think of that 😅 "
"2022-11-01 16:24:03.284816+00","```suggestion         // Find if there are crowns or abutments in the new state that aren't in the old. ```"
"2022-11-01 17:23:12.834595+00","Understandability nitpick: ```suggestion  * Returns an Elasticsearch query to retrieve a list of manual measurements given the metric page's filters. ```"
"2022-11-01 16:24:03.561909+00","would recommend comparing against the `FluorideScreen` enum value"
"2022-11-01 16:33:34.206199+00","is this a left join?"
"2022-11-01 16:35:59.866803+00","OK let's go with this!"
"2022-11-01 16:37:14.365385+00","In an old thread, John had mentioned to me that for identifying ACH, `payment_source_id`: 1. if payment_source_id starts with ba_ then it's definitely an ACH payment 2. if it starts with src_, pm_, or pi_ then we can't tell whether it's a card or ACH (though those are rare) 3. anything else and it's definitely not an ACH  is this consistent with filtering for 'ch_ACH'?"
"2022-11-01 16:54:31.883945+00","This is inconsistent with the tests above, and describes more technical details than user scenario:  ```suggestion             it('should fail to mark in fabrication as ops', () => { ```"
"2022-11-01 16:39:36.673006+00","looks like this stg table doesn't apply any filters or anything, but do want to be conscious for future changes that mix base data with dbt tables, because we may be applying filters in dbt (test orders is a good example of this. dbt filters out all test orders, but currently Acctg is interested in them as part of reconciliation)"
"2022-11-01 17:23:08.954573+00","Codebase styling nitpick: ```suggestion      * Loads physical measurements data.      */     private async loadPhysicalMeasurements(): Promise<Array<{ ```"
"2022-11-01 16:42:26.507016+00","do we need `treasure.` prefix here? and line below"
"2022-11-01 16:43:34.524349+00","should this be treasure.fact_invoice?"
"2022-11-01 16:47:24.282479+00","Since fields get rendered as well even if you can't parse the logs as JSON, isn't filtering for `auditId` a more relevant and specific thing to look for?"
"2022-11-01 16:48:31.798337+00","Minor, but I believe its more correct to say ""Thanks, {firstName}"" (note the comma after thanks)! "
"2022-11-01 16:54:29.005739+00","ditto  ```suggestion             it('should mark an order an ""In Fabrication"" as the lab', () => { ```"
"2022-11-01 16:54:30.961015+00","This describe is missing a test for a non-integrated lab being able to mark an order in fab, which was the scenario that caused the incident"
"2022-11-01 17:04:35.615905+00","Done!"
"2022-11-01 17:27:57.571651+00","I tested on main, commented vs uncommented, tests pass either way"
"2022-11-01 16:54:34.906939+00","This assumes that every manufacturer has a `ManufacturerIntegrationDTO` entry, which is not true - most manufacturers actually don't have an entry in this table, since we have zero integration with their systems"
"2022-11-01 16:58:43.415512+00","Can we clean this up pre-merge?"
"2022-11-01 16:58:43.610367+00","Do these still pass?"
"2022-11-01 16:59:08.994002+00","i swear i un-commented these before pushing, but yes they do"
"2022-11-01 16:59:18.750443+00","real brainfart moment today"
"2022-11-01 17:00:32.461667+00","Do we no longer need this record to be deleted?"
"2022-11-01 17:09:14.152491+00","The cast is just trying to convince TS that these fields are not null, right? Can't we just `updatedField!`?"
"2022-11-01 17:09:25.45249+00"," I think there is a current guarantee by the api to return a valid slice. Clicking through the call graph I see no checks for nil, so it would make sense in that regard to return an empty slice?"
"2022-11-01 17:12:26.528944+00","That's pretty interesting. Do we expect our data to hit this edge case though? My worry is that more complex code is harder to CR or verify, and since we're not storing raw data in the data model, we have a limited number of tries on this."
"2022-11-01 17:14:45.134209+00","```suggestion   - **Project Manager:** a client-facing role that tracks internal progress, addresses client issues and manages client expectations on pull request delivery dates and credit costs  ```"
"2022-11-01 17:14:45.218124+00","```suggestion 2. **An experienced developer:** **Find tickets that don’t have PRs or Tasks yet**. As you grow in skill and experience, try to scope out work for yourself and others such as reviewing pull requests (remember, teamwork makes the dream work 😁). ```"
"2022-11-01 17:14:46.325826+00","```suggestion   - **Repo Owner:** typically an experienced developer who has deep knowledge about the client repository and ensures high code quality of each pull request ```"
"2022-11-01 17:16:50.255291+00","Minor nit: the tentative log message convention is lowercase and generally no punctuation: https://docs.sourcegraph.com/dev/how-to/add_logging#writing-log-messages"
"2022-11-01 17:22:16.968063+00","Do the '-''s belong here? it seems like it should just be: ""live and persistent documentation"""
"2022-11-01 17:22:17.005884+00","I realize you moved this and didn't write this on your own, but this sentence and paragraph are confusing to me.  we say ""All developers, except:"" and then we have one bullet that *sort of* matches the ""except"" clause (the second one) and one that is just a definition of who uses sourcegraph.  Maybe we should drop the ""All developers, except:"" part and just describe it in a paragraph?  Or, alternatively, change the 2 sentences so they align with the ""except"" like: - Developers at organizations with a small amount of code - Developers that rarely search, read, or review code "
"2022-11-01 17:22:17.140645+00","This paragraph seems out of place.  I like it but it doesn't seem to go with ""Who else uses Sourcegraph?"".  It seems like it belongs at the top as a ""Why do I need code search?"" heading or something like that maybe?"
"2022-11-01 17:22:17.262488+00","it's => its"
"2022-11-01 17:22:17.59783+00","this might be a pet peeve of mine, but I prefer ""developers"" to ""devs"".  Not a big deal either way - just my own preference :)   Also - ""code base"" can be either but it _looks_ like we usually use ""codebase"".  Again here I have no preference, just a preference towards consistency.  "
"2022-11-01 17:22:17.730812+00","same thing here - could we link to the doc describing code monitoring?"
